City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,luderitz,-26.6481,15.1594,290.76,68,0,5.57,NA,1696180124
119,fort st. john,56.2499,-120.8529,284.22,44,98,5.55,CA,1696180050
120,carutapera,-1.195,-46.02,304.14,59,64,5.35,BR,1696180125
121,lebu,-37.6167,-73.65,285.86,68,100,3.65,CL,1696179993
122,jamestown,42.097,-79.2353,297.05,65,0,1.34,US,1696180125
123,ilanskiy,56.2358,96.065,273.59,67,81,2.82,RU,1696180125
124,fort mcmurray,56.7268,-111.381,284.11,46,99,3.34,CA,1696180037
125,lysekil,58.2743,11.4358,287.1,82,83,6.65,SE,1696180126
126,sao jose da coroa grande,-8.8978,-35.1478,300.2,62,42,3.99,BR,1696180058
127,sanctuary point,-35.1114,150.629,290.79,75,17,1.9,AU,1696180126
128,invercargill,-46.4,168.35,284.76,94,74,4.14,NZ,1696180126
129,parnera,20.55,72.95,299.47,81,96,2.85,IN,1696180126
130,chartres,48.4167,1.5,298.8,52,54,0.89,FR,1696180127
131,montehermoso,40.0437,-6.3389,306.4,22,10,1.21,ES,1696180127
132,udachny,66.4167,112.4,272.42,95,100,7.12,RU,1696180127
133,kavaratti,10.5669,72.642,301.12,80,95,7.16,IN,1696180127
134,flying fish cove,-10.4217,105.6791,296.97,88,40,5.66,CX,1696180127
135,nova vicosa,-17.8919,-39.3719,299.93,61,37,5.37,BR,1696180128
136,kalmunai,7.4167,81.8167,298.99,85,100,6.22,LK,1696180128
137,namdrik,5.5994,168.1028,301.52,75,87,2.98,MH,1696180128
138,feodosiya,45.0333,35.3833,290.42,53,98,4.83,UA,1696180128
139,narasannapeta,18.4167,84.05,300.62,87,100,4.32,IN,1696180128
140,tanjung pandan,-2.75,107.65,297.47,87,82,2.85,ID,1696180129
141,susuman,62.7833,148.1667,272.03,73,11,1.79,RU,1696180129
142,ed damer,17.5928,33.9592,311.2,12,0,4.05,SD,1696180129
143,karabash,55.4808,60.2157,280.59,87,80,2.27,RU,1696180129
144,zielona gora,51.9355,15.5064,290.46,38,100,2.49,PL,1696180129
145,labrador city,52.9463,-66.9114,284.23,50,65,6.58,CA,1696180130
146,avarua,-21.2078,-159.775,298.18,94,100,2.06,CK,1696180130
147,berdigestyakh,62.0989,126.6992,274.02,74,90,1.7,RU,1696180130
148,alexandria,31.2156,29.9553,299.01,59,100,5.96,EG,1696180130
149,umluj,25.0213,37.2685,303.66,71,3,0.71,SA,1696180130
150,constantia,44.1833,28.65,295.76,56,25,1.72,RO,1696180131
151,saipan,15.1355,145.701,300.54,94,40,3.09,MP,1696180131
152,margaret river,-33.95,115.0667,285.42,65,96,11.79,AU,1696180131
153,tual,-5.6667,132.75,299.11,89,100,3.25,ID,1696180131
154,villa ojo de agua,-29.5,-63.6938,298.15,25,0,6.27,AR,1696180131
155,kisangani,0.5167,25.2,299.14,75,59,1.34,CD,1696180132
156,zhosaly,45.4878,64.0781,290.68,38,81,4.29,KZ,1696180132
157,dunedin,-45.8742,170.5036,287.13,64,98,6.24,NZ,1696180132
158,moranbah,-22.0016,148.0466,289.1,96,0,3.38,AU,1696180132
159,sinabang,2.4803,96.3801,299.38,86,83,3.92,ID,1696180132
160,sinop,41.7711,34.8709,287.99,92,100,1.42,TR,1696180040
161,arawa,-6.2132,155.5367,297.74,92,89,1.0,PG,1696180133
162,vila franca do campo,37.7167,-25.4333,294.38,99,94,3.75,PT,1696180133
163,ust'-ilimsk,58.0006,102.6619,274.51,74,97,4.47,RU,1696180133
164,ksar el boukhari,35.8889,2.7491,302.22,25,0,1.72,DZ,1696180133
165,saimbeyli,37.9863,36.0906,288.34,95,99,3.05,TR,1696180133
166,holualoa,19.6228,-155.9522,296.06,84,20,3.09,US,1696180134
167,biltine,14.5333,20.9167,307.39,30,82,4.71,TD,1696180134
168,crane,31.3974,-102.3501,301.04,49,92,9.28,US,1696180134
169,akureyri,65.6835,-18.0878,279.97,85,100,2.22,IS,1696180134
170,ivdel',60.6911,60.4206,285.39,72,98,3.38,RU,1696180134
171,gutao,37.2025,112.1781,286.44,55,97,1.88,CN,1696180135
172,whitehorse,60.7161,-135.0538,277.21,90,100,8.94,CA,1696180135
173,ushuaia,-54.8,-68.3,274.96,93,75,6.69,AR,1696180135
174,pariaman,-0.619,100.12,300.18,88,85,1.46,ID,1696180135
175,dharchula,29.85,80.5333,292.74,84,0,2.16,IN,1696180136
176,hamilton,39.1834,-84.5333,301.48,58,20,4.12,US,1696180067
177,dryden,49.7833,-92.7503,287.31,100,100,1.54,CA,1696180136
178,marakkanam,12.2,79.95,301.37,78,100,7.43,IN,1696180136
179,afaahiti,-17.75,-149.2833,298.08,85,39,8.31,PF,1696180137
180,vilyuchinsk,52.9306,158.4028,280.33,82,99,0.53,RU,1696180137
181,kurumkan,54.3,110.3,283.22,66,99,1.79,RU,1696180137
182,bryne,58.7354,5.6477,287.58,90,100,5.66,NO,1696180137
183,waiuku,-37.25,174.75,288.29,89,62,4.73,NZ,1696180090
184,prado,-17.3411,-39.2208,298.86,63,37,4.36,BR,1696180138
185,georgetown,5.4112,100.3354,302.11,79,20,1.54,MY,1696180138
186,kratie,12.4881,106.0188,297.39,96,83,0.37,KH,1696180138
187,papatowai,-46.5619,169.4708,282.98,82,100,3.3,NZ,1696180138
188,oranjemund,-28.55,16.4333,289.81,68,0,4.16,NA,1696180138
189,mana,5.6592,-53.7767,305.64,56,88,5.46,GF,1696180139
190,zwedru,6.0667,-8.1281,299.5,93,84,1.58,LR,1696180139
191,isafjordur,66.0755,-23.124,279.93,91,100,6.11,IS,1696180139
192,anadyr,64.75,177.4833,269.43,93,0,1.0,RU,1696180139
193,palikir - national government center,6.9248,158.1611,296.56,94,100,1.54,FM,1696180139
194,college,64.8569,-147.8028,276.14,73,100,3.09,US,1696180140
195,nar'yan-mar,67.6713,53.087,283.77,98,100,4.02,RU,1696180140
196,zigong,29.3416,104.7769,293.41,96,100,1.61,CN,1696179954
197,cambria,35.5641,-121.0808,292.47,92,19,1.34,US,1696180140
198,yuncheng,35.0231,110.9928,287.22,85,100,1.82,CN,1696180140
199,olenino,56.2092,33.4889,283.61,85,100,3.86,RU,1696180141
200,gafanha da nazare,40.6362,-8.7134,300.94,53,21,2.37,PT,1696180080
201,midvagur,62.0511,-7.1939,284.61,93,100,7.2,FO,1696180141
202,port elizabeth,-33.918,25.5701,288.32,79,34,1.79,ZA,1696180141
203,klyuchi,52.2667,79.1667,280.34,83,0,2.3,RU,1696180141
204,laminusa,5.5549,120.9136,302.15,80,100,6.63,PH,1696180142
205,bereznik,62.8551,42.7072,284.28,83,97,4.12,RU,1696180142
206,tofol,5.3248,163.0078,301.51,74,26,3.22,FM,1696180142
207,bonthe,7.5264,-12.505,301.39,77,100,4.01,SL,1696180142
208,rong kwang,18.339,100.3174,297.03,98,95,0.59,TH,1696180143
209,tahe,52.3333,124.7333,277.45,80,82,1.09,CN,1696179922
210,lalpur,22.2,69.9667,299.42,67,1,3.58,IN,1696180143
211,yamba,-5.9,22.3,299.71,65,71,1.63,CD,1696180143
212,tolanaro,-25.0319,46.9987,296.18,83,5,1.16,MG,1696180143
213,sant'antioco,39.0664,8.4522,296.02,79,4,2.11,IT,1696180144
214,ulaangom,49.9811,92.0667,281.91,67,100,3.4,MN,1696180144
215,hafnarfjordur,64.0671,-21.9377,283.36,68,100,3.81,IS,1696180144
216,hami,42.8,93.45,290.05,35,59,4.05,CN,1696180144
217,christchurch,-43.5333,172.6333,288.68,61,75,4.63,NZ,1696180145
218,kurmuk,10.55,34.2833,297.13,84,65,1.66,SD,1696180145
219,ta`u,-14.2336,-169.5144,299.79,81,25,8.65,AS,1696180145
220,san luis de la loma,17.2706,-100.8939,304.35,69,26,2.58,MX,1696180145
221,yacimiento rio turbio,-51.5732,-72.3508,270.81,93,100,7.72,AR,1696180146
222,mugia,43.1041,-9.2179,296.43,77,69,2.24,ES,1696180146
223,mili,6.0815,171.735,300.64,77,93,1.91,MH,1696180146
224,taro,-8.3862,115.28,294.18,89,65,0.23,ID,1696180146
225,pekan,3.4836,103.3996,299.4,88,96,1.4,MY,1696180146
226,iskateley,67.6803,53.1512,283.72,98,100,4.02,RU,1696180147
227,sao lourenco do sul,-31.3653,-51.9783,289.41,60,0,3.17,BR,1696180138
228,galliano,29.4422,-90.2992,304.15,58,40,5.66,US,1696180147
229,el calafate,-50.3408,-72.2768,277.85,53,7,5.5,AR,1696180147
230,ndele,8.4109,20.6473,297.91,87,76,0.75,CF,1696180147
231,alesund,62.4723,6.1549,286.43,83,20,5.14,NO,1696180148
232,saint-philippe,-21.3585,55.7679,296.92,74,6,2.9,RE,1696180148
233,mermoz boabab,14.7065,-17.4758,303.46,77,89,3.21,SN,1696180148
234,kirensk,57.7853,108.1119,274.83,76,43,4.47,RU,1696180148
235,nova sintra,14.8667,-24.7167,297.51,76,58,4.52,CV,1696180069
236,wailua homesteads,22.0669,-159.378,297.59,88,75,5.66,US,1696180149
237,nelson bay,-32.7167,152.15,292.59,80,68,4.92,AU,1696180149
238,paracuru,-3.41,-39.0306,300.99,52,74,7.41,BR,1696180149
239,mirny,62.5353,113.9611,279.79,74,100,3.52,RU,1696180149
240,al quwayrah,29.8004,35.3116,299.15,49,64,1.55,JO,1696180149
241,ewo,-0.8725,14.8206,298.73,84,86,1.19,CG,1696180150
242,kudahuvadhoo,2.6708,72.8944,300.92,77,100,3.8,MV,1696180150
243,tarinkot,32.6268,65.8733,289.55,17,0,0.86,AF,1696180150
244,deridder,30.8463,-93.289,306.13,40,0,2.06,US,1696180150
245,bealanana,-14.55,48.7333,291.74,83,58,1.03,MG,1696180150
246,ulladulla,-35.35,150.4667,287.09,71,29,1.84,AU,1696180151
247,masina,-4.3836,15.3914,308.34,36,20,3.09,CD,1696180151
248,nemuro,43.3236,145.575,288.85,84,82,3.52,JP,1696180151
249,balkanabat,39.5108,54.3671,296.53,19,0,1.83,TM,1696180151
250,luorong,24.4058,109.6086,298.85,87,41,1.52,CN,1696180152
251,patnanungan,14.7833,122.1833,301.3,81,100,2.84,PH,1696180152
252,geraldton,-28.7667,114.6,291.38,72,40,5.66,AU,1696180016
253,ephraim,39.3597,-111.5863,286.93,54,3,4.64,US,1696180152
254,prince rupert,54.3161,-130.3201,282.2,100,100,3.09,CA,1696180152
255,pangody,65.85,74.4859,275.76,100,100,3.32,RU,1696180152
256,walvis bay,-22.9575,14.5053,285.42,75,32,5.64,NA,1696180153
257,fayzabad,37.1166,70.58,289.22,42,61,0.79,AF,1696180153
258,blagoevgrad,42.0167,23.1,290.85,60,35,3.75,BG,1696180153
259,island harbour,50.724,-1.2758,293.23,89,98,1.34,GB,1696180153
260,tsafe,11.9553,6.9223,300.05,68,76,2.8,NG,1696180154
261,ancud,-41.8697,-73.8203,281.61,91,100,1.38,CL,1696179990
262,otjimbingwe,-22.35,16.1333,304.3,9,0,6.2,NA,1696180154
263,kapuskasing,49.4169,-82.4331,293.69,53,83,2.16,CA,1696180154
264,pisco,-13.7,-76.2167,294.18,78,0,4.12,PE,1696180155
265,timmins,48.4669,-81.3331,294.69,58,62,1.88,CA,1696180155
266,chebarkul',54.9749,60.3633,280.68,86,5,2.98,RU,1696180155
267,queenstown,-31.8976,26.8753,284.87,61,0,5.74,ZA,1696180155
268,kropachevo,55.0112,57.9896,280.8,77,39,2.44,RU,1696180155
269,glowno,51.9646,19.7157,289.26,99,99,3.05,PL,1696180156
270,lerma,42.0261,-3.7598,303.46,18,31,1.78,ES,1696180156
271,tsiombe,-25.3,45.4833,296.1,69,3,2.28,MG,1696180156
272,brodosqui,-20.9914,-47.6586,300.14,36,72,5.13,BR,1696180156
273,petropavlovsk-kamchatsky,53.0452,158.6483,279.51,79,93,1.79,RU,1696180156
274,grande prairie,55.1667,-118.8027,275.25,100,75,1.03,CA,1696179983
275,catacocha,-4.0667,-79.6333,295.71,35,59,1.59,EC,1696180157
276,prince george,53.9166,-122.753,277.84,87,100,4.63,CA,1696179902
277,olonkinbyen,70.9221,-8.7187,273.17,80,100,4.51,SJ,1696180158
278,huautla de jimenez,18.1315,-96.8409,295.91,53,45,1.98,MX,1696180158
279,bavly,54.393,53.2602,287.08,55,13,3.29,RU,1696180158
280,susanville,40.4163,-120.653,283.61,64,75,1.54,US,1696179928
281,sovetskiy,61.3614,63.5842,283.65,68,72,5.36,RU,1696179950
282,grand-lahou,5.1367,-5.0242,299.65,82,80,4.78,CI,1696180159
283,iacu,-12.7672,-40.2117,302.13,56,80,3.8,BR,1696180159
284,bamboo flat,11.7,92.7167,300.15,85,97,5.78,IN,1696180159
285,vila velha,-20.3297,-40.2925,298.12,79,0,4.63,BR,1696180159
286,hirara,24.8,125.2833,301.24,76,66,9.81,JP,1696180159
287,san patricio,28.017,-97.5169,305.07,63,28,5.94,US,1696180160
288,tanout,14.9709,8.8879,302.56,43,45,7.95,NE,1696180160
289,ha'il,27.5219,41.6907,303.31,14,36,4.1,SA,1696180160
290,timimoun,29.2639,0.231,307.36,14,0,8.75,DZ,1696180160
291,kailua-kona,19.6406,-155.9956,298.13,84,20,3.09,US,1696180160
292,nyurba,63.2842,118.3319,279.28,81,99,0.45,RU,1696180161
293,saudarkrokur,65.7461,-19.6394,281.66,72,99,1.53,IS,1696180161
294,kapa'a,22.0752,-159.319,298.33,88,75,5.66,US,1696180161
295,goronyo,13.4423,5.6763,307.34,37,12,4.46,NG,1696180161
296,longyearbyen,78.2186,15.6401,270.06,59,75,8.23,SJ,1696180162
297,fale old settlement,-9.3852,-171.2468,300.91,76,25,2.81,TK,1696180162
298,al ghayzah,16.2079,52.176,300.47,79,61,2.94,YE,1696180162
299,coquimbo,-29.9533,-71.3436,287.74,77,94,2.42,CL,1696180162
300,turpan,42.9333,89.1667,297.0,26,6,1.8,CN,1696180162
301,pimentel,-6.8367,-79.9342,300.31,54,0,8.23,PE,1696180163
302,hithadhoo,-0.6,73.0833,301.19,72,76,6.43,MV,1696180163
303,xichang,27.8964,102.2634,292.43,89,23,1.0,CN,1696180163
304,arraial do cabo,-22.9661,-42.0278,295.07,88,75,4.63,BR,1696180124
305,gangkofen,48.4333,12.5667,291.02,75,5,0.6,DE,1696180164
306,santa ana de yacuma,-13.75,-65.4333,309.16,38,90,2.02,BO,1696180164
307,kununurra,-15.7667,128.7333,297.14,78,27,2.57,AU,1696180164
308,revda,56.801,59.9303,281.24,83,37,2.62,RU,1696180164
309,torghay,49.6339,63.4981,288.53,48,93,4.92,KZ,1696180164
310,haiku-pauwela,20.9219,-156.3051,298.73,77,20,5.36,US,1696180164
311,codrington,-38.2667,141.9667,278.2,92,0,3.64,AU,1696180165
312,chonchi,-42.6128,-73.8092,280.44,98,100,1.07,CL,1696180165
313,kertih,4.5141,103.4483,299.01,87,81,1.84,MY,1696180165
314,fuling,29.7022,107.3919,295.59,91,81,0.94,CN,1696180165
315,taltal,-25.4,-70.4833,291.56,67,23,2.99,CL,1696180166
316,le port,-20.9373,55.2919,297.15,88,12,1.22,RE,1696180166
317,puerto leguizamo,-0.1934,-74.7819,303.21,75,87,0.7,CO,1696180166
318,lihue,21.9789,-159.3672,297.92,88,75,5.66,US,1696180166
319,yeppoon,-23.1333,150.7333,290.03,77,0,3.03,AU,1696180167
320,prince albert,53.2001,-105.7677,281.12,93,100,4.12,CA,1696180080
321,fortuna,40.5982,-124.1573,287.03,91,0,3.6,US,1696180167
322,isangel,-19.55,169.2667,294.55,70,84,8.7,VU,1696180167
323,nuuk,64.1835,-51.7216,275.49,80,75,4.63,GL,1696180167
324,takehara,34.3383,132.9167,290.77,74,0,3.41,JP,1696180168
325,fiambala,-27.6871,-67.6149,300.63,13,16,5.03,AR,1696180168
326,constitucion,-35.3333,-72.4167,287.37,70,91,3.69,CL,1696179992
327,teguise,29.0605,-13.564,299.27,61,0,1.03,ES,1696180168
328,scarborough,54.2797,-0.4044,291.99,88,100,1.34,GB,1696180008
329,celestun,20.8667,-90.4,305.05,61,89,0.51,MX,1696180168
330,igarka,67.4667,86.5833,268.63,69,2,1.43,RU,1696180169
331,newman,37.3138,-121.0208,291.01,50,53,1.34,US,1696180169
332,kruisfontein,-34.0033,24.7314,286.97,67,68,5.59,ZA,1696180169
333,port alfred,-33.5906,26.891,288.25,84,64,5.6,ZA,1696180169
334,tazacorte,28.629,-17.9293,301.01,78,0,3.09,ES,1696180170
335,likiep,9.8251,169.3107,300.47,80,98,5.3,MH,1696180170
336,karatas,36.582,35.3701,297.23,68,10,6.08,TR,1696180173
337,pacific grove,36.6177,-121.9166,290.03,84,75,1.54,US,1696180111
338,altamira,-3.2033,-52.2064,314.17,22,48,1.53,BR,1696180173
339,luza,60.6308,47.2512,284.55,93,100,4.1,RU,1696180174
340,galle,6.0367,80.217,298.97,86,90,3.53,LK,1696180174
341,acarau,-2.8856,-40.12,304.23,55,40,9.65,BR,1696180079
342,ashland,40.8167,-82.2665,297.68,68,0,1.97,US,1696179901
343,santana,-0.0583,-51.1817,307.25,55,20,3.6,BR,1696180174
344,ouadda,8.0777,22.4007,297.5,82,84,0.17,CF,1696180175
345,kirakira,-10.4544,161.9205,298.96,85,91,4.7,SB,1696180175
346,olyokminsk,60.3736,120.4264,278.1,91,48,1.29,RU,1696180175
347,banda aceh,5.5577,95.3222,299.67,83,13,4.41,ID,1696180175
348,tartouss,34.889,35.8866,297.6,72,81,8.77,SY,1696180175
349,brokopondo,4.75,-55.1667,306.93,39,100,0.88,SR,1696180176
350,techiman,7.5862,-1.9414,299.51,86,62,0.4,GH,1696180176
351,ksawerow,51.6829,19.4028,288.87,72,20,1.54,PL,1696180176
352,isla vista,34.4133,-119.861,293.05,72,75,2.06,US,1696180176
353,camiri,-20.05,-63.5167,304.57,24,14,3.39,BO,1696180177
354,rupert,42.6191,-113.6772,281.03,93,100,3.09,US,1696180177
355,amursk,50.2261,136.8994,282.03,89,100,5.77,RU,1696180177
356,papao,-17.75,-149.55,298.97,82,6,9.26,PF,1696180177
357,nahiyat al fuhud,30.9697,46.7228,306.98,17,0,4.24,IQ,1696180177
358,haverfordwest,51.8017,-4.9691,289.92,100,99,3.18,GB,1696180178
359,bodo,67.28,14.405,281.17,88,40,1.54,NO,1696180178
360,vilyuysk,63.7553,121.6247,280.37,82,99,0.89,RU,1696180178
361,otok,45.1467,18.8839,292.17,44,32,2.7,HR,1696180178
362,abadan,30.3392,48.3043,307.37,15,0,4.49,IR,1696180178
363,horta,38.5333,-28.6333,295.95,67,20,3.13,PT,1696180179
364,sergeyevka,53.88,67.4158,285.69,61,84,2.32,KZ,1696180179
365,borkum,53.5809,6.6915,293.68,85,100,7.24,DE,1696180179
